SPELL,BUY,LIMIT,IOC,156794,0.0013073,0.0012880,FILLED,137844,156794,1737910074045,204.9767962
SPELL,BUY,LIMIT,IOC,156794,0.0013073,0.0012880,FILLED,137844,156794,1737910074045,204.9767962
JUP,SELL,LIMIT,IOC,113,1.2086011,1.2200000,FILLED,113,113,1737910074516,136.5719243
JUP,SELL,LIMIT,IOC,113,1.2086011,1.2200000,FILLED,113,113,1737910074516,136.5719243
SOLV,SELL,LIMIT,IOC,970,0.0568856,0.0574000,FILLED,970,970,1737910075742,55.179032
SOLV,SELL,LIMIT,IOC,970,0.0568856,0.0574000,FILLED,970,970,1737910075742,55.179032
SOLV,SELL,LIMIT,IOC,169,0.0568407,0.0574000,FILLED,169,169,1737910076775,9.6060783
SOLV,SELL,LIMIT,IOC,169,0.0568407,0.0574000,FILLED,169,169,1737910076775,9.6060783
JUP,SELL,LIMIT,IOC,77,1.2078263,1.2180000,FILLED,77,77,1737910079062,93.0026251
JUP,SELL,LIMIT,IOC,77,1.2078263,1.2180000,FILLED,77,77,1737910079062,93.0026251
SONIC,SELL,LIMIT,IOC,26.4,0.5284491,0.5335000,FILLED,26.4,26.4,1737910080039,13.95105624
SONIC,SELL,LIMIT,IOC,26.4,0.5284491,0.5335000,FILLED,26.4,26.4,1737910080039,13.95105624
JUP,BUY,LIMIT,IOC,114,1.2345336,1.2236000,FILLED,114,114,1737910089631,140.7368304
JUP,BUY,LIMIT,IOC,114,1.2345336,1.2236000,FILLED,114,114,1737910089631,140.7368304
JUP,BUY,LIMIT,IOC,4011,1.2370099,1.2248967,FILLED,3881,4011,1737910107188,4961.646708900001
JUP,BUY,LIMIT,IOC,4011,1.2370099,1.2248967,FILLED,3881,4011,1737910107188,4961.646708900001
TRUMP,BUY,LIMIT,IOC,5.76,29.595524,29.370000,FILLED,0.33,5.76,1737910108077,170.47021824
TRUMP,BUY,LIMIT,IOC,5.76,29.595524,29.370000,FILLED,0.33,5.76,1737910108077,170.47021824
TRUMP,BUY,LIMIT,IOC,34.42,29.648509,29.387000,FILLED,34.42,34.42,1737910109743,1020.50167978
TRUMP,BUY,LIMIT,IOC,34.42,29.648509,29.387000,FILLED,34.42,34.42,1737910109743,1020.50167978
TRUMP,BUY,LIMIT,IOC,0.81,29.667450,29.384000,FILLED,0.81,0.81,1737910112150,24.0306345
TRUMP,BUY,LIMIT,IOC,0.81,29.667450,29.384000,FILLED,0.81,0.81,1737910112150,24.0306345
JUP,BUY,LIMIT,IOC,34,1.2396021,1.2269000,FILLED,34,34,1737910118815,42.146471399999996
